"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2010",10.7,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2011",10.4,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2012",10.1,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2013",9.6,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2014",9.3,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2015",9.4,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2016",9.6,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2017",9.6,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2018",9.5,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2002",9.7,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2003",10.7,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2004",9.6,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2005",8.9,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2006",10.4,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2007",9.5,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2008",8.9,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2009",8.5,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2010",8.5,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2011",7.6,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2012",6.6,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2013",6.9,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2014",6.1,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2015",5.6,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2016",5.8,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2017",5.4,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2018",5.5,
"FIN","AIREMISSION","CO2","TONNE_CAP","A","2002",12.1,
"FIN","AIREMISSION","CO2","TONNE_CAP","A","2003",13.7,
"FIN","AIREMISSION","CO2","TONNE_CAP","A","2004",12.8,
"FIN","AIREMISSION","CO2","TONNE_CAP","A","2005",10.5,
"FIN","AIREMISSION","CO2","TONNE_CAP","A","2006",12.6,
"FIN","AIREMISSION","CO2","TONNE_CAP","A","2007",12.2,
"FIN","AIREMISSION","CO2","TONNE_CAP","A","2008",10.5,
"FIN","AIREMISSION","CO2","TONNE_CAP","A","2009",10.1,
"FIN","AIREMISSION","CO2","TONNE_CAP","A","2010",11.6,
"FIN","AIREMISSION","CO2","TONNE_CAP","A","2011",10.1,
"FIN","AIREMISSION","CO2","TONNE_CAP","A","2012",9,
"FIN","AIREMISSION","CO2","TONNE_CAP","A","2013",9.1,
"FIN","AIREMISSION","CO2","TONNE_CAP","A","2014",8.4,
"FIN","AIREMISSION","CO2","TONNE_CAP","A","2015",7.7,
"FIN","AIREMISSION","CO2","TONNE_CAP","A","2016",8.2,
"FIN","AIREMISSION","CO2","TONNE_CAP","A","2017",7.7,
"FIN","AIREMISSION","CO2","TONNE_CAP","A","2018",7.9,
"FRA","AIREMISSION","CO2","TONNE_CAP","A","2002",5.9,
"FRA","AIREMISSION","CO2","TONNE_CAP","A","2003",5.9,
"FRA","AIREMISSION","CO2","TONNE_CAP","A","2004",5.9,
"FRA","AIREMISSION","CO2","TONNE_CAP","A","2005",5.9,
"FRA","AIREMISSION","CO2","TONNE_CAP","A","2006",5.7,
"FRA","AIREMISSION","CO2","TONNE_CAP","A","2007",5.5,
"FRA","AIREMISSION","CO2","TONNE_CAP","A","2008",5.4,
"FRA","AIREMISSION","CO2","TONNE_CAP","A","2009",5.2,
"FRA","AIREMISSION","CO2","TONNE_CAP","A","2010",5.2,
"FRA","AIREMISSION","CO2","TONNE_CAP","A","2011",4.9,
"FRA","AIREMISSION","CO2","TONNE_CAP","A","2012",5,
"FRA","AIREMISSION","CO2","TONNE_CAP","A","2013",4.9,
"FRA","AIREMISSION","CO2","TONNE_CAP","A","2014",4.4,
"FRA","AIREMISSION","CO2","TONNE_CAP","A","2015",4.5,
"FRA","AIREMISSION","CO2","TONNE_CAP","A","2016",4.5,
"FRA","AIREMISSION","CO2","TONNE_CAP","A","2017",4.6,
"FRA","AIREMISSION","CO2","TONNE_CAP","A","2018",4.3,
"DEU","AIREMISSION","CO2","TONNE_CAP","A","2002",10,
"DEU","AIREMISSION","CO2","TONNE_CAP","A","2003",10.1,
"DEU","AIREMISSION","CO2","TONNE_CAP","A","2004",9.9,
"DEU","AIREMISSION","CO2","TONNE_CAP","A","2005",9.7,
"DEU","AIREMISSION","CO2","TONNE_CAP","A","2006",9.8,
"DEU","AIREMISSION","CO2","TONNE_CAP","A","2007",9.5,
"DEU","AIREMISSION","CO2","TONNE_CAP","A","2008",9.6,
"DEU","AIREMISSION","CO2","TONNE_CAP","A","2009",8.9,
"DEU","AIREMISSION","CO2","TONNE_CAP","A","2010",9.5,
"DEU","AIREMISSION","CO2","TONNE_CAP","A","2011",9.1,
"DEU","AIREMISSION","CO2","TONNE_CAP","A","2012",9.3,
"DEU","AIREMISSION","CO2","TONNE_CAP","A","2013",9.5,
"DEU","AIREMISSION","CO2","TONNE_CAP","A","2014",8.9,
"DEU","AIREMISSION","CO2","TONNE_CAP","A","2015",8.9,
"DEU","AIREMISSION","CO2","TONNE_CAP","A","2016",8.9,
"DEU","AIREMISSION","CO2","TONNE_CAP","A","2017",8.7,
"DEU","AIREMISSION","CO2","TONNE_CAP","A","2018",8.2,
"GRC","AIREMISSION","CO2","TONNE_CAP","A","2002",8.3,
"GRC","AIREMISSION","CO2","TONNE_CAP","A","2003",8.6,
"GRC","AIREMISSION","CO2","TONNE_CAP","A","2004",8.5,
"GRC","AIREMISSION","CO2","TONNE_CAP","A","2005",8.7,
"GRC","AIREMISSION","CO2","TONNE_CAP","A","2006",8.5,
"GRC","AIREMISSION","CO2","TONNE_CAP","A","2007",8.9,
"GRC","AIREMISSION","CO2","TONNE_CAP","A","2008",8.5,
"GRC","AIREMISSION","CO2","TONNE_CAP","A","2009",8.1,
"GRC","AIREMISSION","CO2","TONNE_CAP","A","2010",7.5,
"GRC","AIREMISSION","CO2","TONNE_CAP","A","2011",7.4,
"GRC","AIREMISSION","CO2","TONNE_CAP","A","2012",7,
"GRC","AIREMISSION","CO2","TONNE_CAP","A","2013",6.3,
"GRC","AIREMISSION","CO2","TONNE_CAP","A","2014",6,
"GRC","AIREMISSION","CO2","TONNE_CAP","A","2015",6,
"GRC","AIREMISSION","CO2","TONNE_CAP","A","2016",5.9,
"GRC","AIREMISSION","CO2","TONNE_CAP","A","2017",5.9,
"GRC","AIREMISSION","CO2","TONNE_CAP","A","2018",5.7,
"HUN","AIREMISSION","CO2","TONNE_CAP","A","2002",5.3,
"HUN","AIREMISSION","CO2","TONNE_CAP","A","2003",5.6,
"HUN","AIREMISSION","CO2","TONNE_CAP","A","2004",5.4,
"HUN","AIREMISSION","CO2","TONNE_CAP","A","2005",5.4,
"HUN","AIREMISSION","CO2","TONNE_CAP","A","2006",5.4,
"HUN","AIREMISSION","CO2","TONNE_CAP","A","2007",5.2,
"HUN","AIREMISSION","CO2","TONNE_CAP","A","2008",5.2,
"HUN","AIREMISSION","CO2","TONNE_CAP","A","2009",4.7,
"HUN","AIREMISSION","CO2","TONNE_CAP","A","2010",4.7,
"HUN","AIREMISSION","CO2","TONNE_CAP","A","2011",4.6,
"HUN","AIREMISSION","CO2","TONNE_CAP","A","2012",4.3,
